id_lagosta,ano,mes,mes_nome,data_amostragem,sitio,sexo,comprimento_cefalotorax_mm,armadilha,substrato,temperatura_c,salinidade,oxigenio_dissolvido_mg_l,oxigenio_saturacao_pct,ph,profundidade_m,coordenadas,maturidade_reprodutiva
LN0029,2024,9,setembro,2024-09-28,DIAZ,M,43.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0030,2024,9,setembro,2024-09-28,DIAZ,F,47.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0031,2024,9,setembro,2024-09-28,DIAZ,M,50.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0032,2024,9,setembro,2024-09-28,DIAZ,F,42.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0033,2024,9,setembro,2024-09-28,DIAZ,F,48.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0034,2024,9,setembro,2024-09-28,DIAZ,F,48.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0035,2024,9,setembro,2024-09-28,DIAZ,M,53.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0036,2024,9,setembro,2024-09-28,DIAZ,M,44.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0037,2024,9,setembro,2024-09-28,DIAZ,F,42.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0038,2024,9,setembro,2024-09-28,DIAZ,F,49.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0039,2024,9,setembro,2024-09-28,DIAZ,M,46.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0040,2024,9,setembro,2024-09-28,DIAZ,M,44.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0041,2024,9,setembro,2024-09-28,DIAZ,M,51.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0042,2024,9,setembro,2024-09-28,DIAZ,M,47.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0043,2024,9,setembro,2024-09-28,DIAZ,F,39.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0044,2024,9,setembro,2024-09-28,DIAZ,F,49.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0045,2024,9,setembro,2024-09-28,DIAZ,F,45.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0046,2024,9,setembro,2024-09-28,DIAZ,M,43.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0047,2024,9,setembro,2024-09-28,DIAZ,M,43.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0048,2024,9,setembro,2024-09-28,DIAZ,M,48.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0049,2024,9,setembro,2024-09-28,DIAZ,F,48.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0050,2024,9,setembro,2024-09-28,DIAZ,F,48.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0051,2024,9,setembro,2024-09-28,DIAZ,M,44.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0052,2024,9,setembro,2024-09-28,DIAZ,F,42.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0053,2024,9,setembro,2024-09-28,DIAZ,M,43.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0054,2024,9,setembro,2024-09-28,DIAZ,M,45.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0055,2024,9,setembro,2024-09-28,DIAZ,M,46.0,5,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0056,2024,9,setembro,2024-09-28,DIAZ,M,41.0,5,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0057,2024,9,setembro,2024-09-28,DIAZ,M,42.0,5,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0058,2024,9,setembro,2024-09-28,DIAZ,F,50.0,5,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0059,2024,9,setembro,2024-09-28,DIAZ,M,46.0,5,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0060,2024,9,setembro,2024-09-28,DIAZ,M,49.0,5,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0061,2024,9,setembro,2024-09-28,DIAZ,F,39.0,5,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0062,2024,9,setembro,2024-09-28,DIAZ,F,42.0,5,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0063,2024,9,setembro,2024-09-28,DIAZ,M,46.0,5,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0064,2024,9,setembro,2024-09-28,DIAZ,M,49.0,5,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0065,2024,9,setembro,2024-09-28,DIAZ,M,43.0,5,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0066,2024,9,setembro,2024-09-28,DIAZ,M,48.0,5,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0067,2024,9,setembro,2024-09-28,DIAZ,M,45.0,5,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0068,2024,9,setembro,2024-09-28,DIAZ,M,42.0,5,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0069,2024,9,setembro,2024-09-28,DIAZ,M,37.0,5,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0070,2024,9,setembro,2024-09-28,DIAZ,M,40.0,5,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0071,2024,9,setembro,2024-09-28,DIAZ,M,37.0,5,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0072,2024,9,setembro,2024-09-28,DIAZ,F,36.0,5,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0073,2024,9,setembro,2024-09-28,DIAZ,M,43.0,5,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0074,2024,9,setembro,2024-09-28,SWB,M,48.0,4,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63380, E 15.09826",
LN0075,2024,9,setembro,2024-09-28,SWB,M,46.0,4,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63380, E 15.09826",
LN0076,2024,9,setembro,2024-09-28,SWB,F,51.0,4,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63380, E 15.09826",
LN0077,2024,9,setembro,2024-09-28,SWB,M,47.0,4,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63380, E 15.09826",
LN0078,2024,9,setembro,2024-09-28,SWB,M,48.0,4,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63380, E 15.09826",
LN0079,2024,9,setembro,2024-09-28,SWB,M,48.0,4,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63380, E 15.09826",
LN0080,2024,9,setembro,2024-09-28,SWB,M,47.0,4,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63380, E 15.09826",
LN0081,2024,9,setembro,2024-09-28,SWB,M,40.0,4,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63380, E 15.09826",
LN0082,2024,9,setembro,2024-09-28,SWB,F,46.0,4,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63380, E 15.09826",
LN0083,2024,9,setembro,2024-09-28,SWB,M,49.0,4,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63380, E 15.09826",
LN0084,2024,9,setembro,2024-09-28,SWB,M,46.0,4,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63380, E 15.09826",
LN0085,2024,9,setembro,2024-09-28,SWB,M,49.0,4,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63380, E 15.09826",
LN0086,2024,9,setembro,2024-09-28,SWB,M,51.0,4,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63380, E 15.09826",
LN0087,2024,9,setembro,2024-09-28,SWB,F,35.0,4,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63380, E 15.09826",
LN0088,2024,9,setembro,2024-09-28,SWB,F,46.0,4,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63380, E 15.09826",
LN0089,2024,9,setembro,2024-09-28,SWB,M,47.0,4,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63380, E 15.09826",
LN0090,2024,9,setembro,2024-09-28,SWB,M,50.0,4,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63380, E 15.09826",
LN0091,2024,9,setembro,2024-09-28,SWB,M,47.0,4,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63380, E 15.09826",
LN0092,2024,9,setembro,2024-09-28,SWB,M,33.0,4,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63380, E 15.09826",
LN0093,2024,9,setembro,2024-09-28,SWB,M,45.0,4,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63380, E 15.09826",
LN0094,2024,9,setembro,2024-09-28,SWB,F,39.0,4,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63380, E 15.09826",
LN0095,2024,9,setembro,2024-09-28,SWB,F,44.0,4,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63380, E 15.09826",
LN0096,2024,9,setembro,2024-09-28,SWB,F,39.0,4,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63380, E 15.09826",
LN0097,2024,9,setembro,2024-09-28,SWB,M,47.0,4,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63380, E 15.09826",
LN0098,2024,9,setembro,2024-09-28,SWB,F,44.0,4,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63380, E 15.09826",
LN0099,2024,9,setembro,2024-09-28,SWB,M,39.0,4,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63380, E 15.09826",
LN0100,2024,9,setembro,2024-09-28,SWB,M,49.0,4,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63380, E 15.09826",
LN0101,2024,9,setembro,2024-09-28,SWB,M,49.0,4,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63380, E 15.09826",
LN0102,2024,9,setembro,2024-09-28,SWB,F,43.0,4,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63380, E 15.09826",
LN0103,2024,9,setembro,2024-09-28,SWB,M,49.0,4,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63380, E 15.09826",
LN0104,2024,9,setembro,2024-09-28,SWB,M,47.0,4,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63380, E 15.09826",
LN0105,2024,9,setembro,2024-09-28,SWB,F,45.0,4,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63380, E 15.09826",
LN0106,2024,9,setembro,2024-09-28,SWB,F,39.0,4,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63380, E 15.09826",
LN0107,2024,9,setembro,2024-09-28,SWB,F,47.0,4,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63380, E 15.09826",
LN0108,2024,9,setembro,2024-09-28,SWB,M,49.0,4,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63380, E 15.09826",
LN0109,2024,9,setembro,2024-09-28,SWB,F,44.0,4,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63380, E 15.09826",
LN0110,2024,9,setembro,2024-09-28,SWB,M,44.0,4,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63380, E 15.09826",
LN0111,2024,9,setembro,2024-09-28,SWB,F,38.0,4,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63380, E 15.09826",
LN0112,2024,9,setembro,2024-09-28,SWB,M,41.0,4,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63380, E 15.09826",
LN0113,2024,9,setembro,2024-09-28,SWB,M,37.0,4,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63380, E 15.09826",
LN0114,2024,9,setembro,2024-09-28,SWB,M,50.0,6,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63788, E 15.09808",
LN0115,2024,9,setembro,2024-09-28,SWB,M,49.0,6,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63788, E 15.09808",
LN0116,2024,9,setembro,2024-09-28,SWB,F,48.0,6,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63788, E 15.09808",
LN0117,2024,9,setembro,2024-09-28,SWB,F,41.0,6,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63788, E 15.09808",
LN0118,2024,9,setembro,2024-09-28,SWB,M,44.0,6,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63788, E 15.09808",
LN0119,2024,9,setembro,2024-09-28,SWB,M,44.0,6,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63788, E 15.09808",
LN0120,2024,9,setembro,2024-09-28,SWB,M,48.0,6,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63788, E 15.09808",
LN0121,2024,9,setembro,2024-09-28,SWB,F,43.0,6,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63788, E 15.09808",
LN0122,2024,9,setembro,2024-09-28,SWB,M,48.0,6,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63788, E 15.09808",
LN0123,2024,9,setembro,2024-09-28,SWB,M,45.0,6,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63788, E 15.09808",
LN0124,2024,9,setembro,2024-09-28,SWB,F,41.0,6,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63788, E 15.09808",
LN0125,2024,9,setembro,2024-09-28,SWB,F,35.0,6,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63788, E 15.09808",
LN0126,2024,9,setembro,2024-09-28,SWB,F,46.0,6,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63788, E 15.09808",
LN0127,2024,9,setembro,2024-09-28,SWB,M,32.0,6,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63788, E 15.09808",
LN0128,2024,9,setembro,2024-09-28,SWB,M,43.0,6,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63788, E 15.09808",
LN0129,2024,9,setembro,2024-09-28,SWB,F,31.0,6,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63788, E 15.09808",
LN0130,2024,9,setembro,2024-09-28,SWB,M,34.0,6,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63788, E 15.09808",
LN0131,2024,9,setembro,2024-09-28,SWB,F,32.0,6,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63788, E 15.09808",
LN0132,2024,9,setembro,2024-09-28,SWB,M,35.0,6,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63788, E 15.09808",
LN0133,2024,9,setembro,2024-09-28,SWB,M,44.0,6,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63788, E 15.09808",
LN0134,2024,9,setembro,2024-09-28,SWB,M,46.0,6,BB,11.29,14.595,9.28,96.4,7.86,,"S 26.63788, E 15.09808",
LN0135,2024,9,setembro,2024-09-28,SWB,F,50.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0136,2024,9,setembro,2024-09-28,SWB,M,42.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0137,2024,9,setembro,2024-09-28,SWB,M,42.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0138,2024,9,setembro,2024-09-28,SWB,M,39.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0139,2024,9,setembro,2024-09-28,SWB,F,47.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0140,2024,9,setembro,2024-09-28,SWB,F,45.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0141,2024,9,setembro,2024-09-28,SWB,M,55.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0142,2024,9,setembro,2024-09-28,SWB,M,54.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0143,2024,9,setembro,2024-09-28,SWB,M,48.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0144,2024,9,setembro,2024-09-28,SWB,F,47.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0145,2024,9,setembro,2024-09-28,SWB,M,51.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0146,2024,9,setembro,2024-09-28,SWB,F,45.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0147,2024,9,setembro,2024-09-28,SWB,M,47.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0148,2024,9,setembro,2024-09-28,SWB,F,50.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0149,2024,9,setembro,2024-09-28,SWB,F,49.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0150,2024,9,setembro,2024-09-28,SWB,M,50.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0151,2024,9,setembro,2024-09-28,SWB,M,41.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0152,2024,9,setembro,2024-09-28,SWB,F,34.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0153,2024,9,setembro,2024-09-28,SWB,M,47.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0154,2024,9,setembro,2024-09-28,SWB,M,46.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0155,2024,9,setembro,2024-09-28,SWB,M,50.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0156,2024,9,setembro,2024-09-28,SWB,F,42.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0157,2024,9,setembro,2024-09-28,SWB,F,41.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0158,2024,9,setembro,2024-09-28,SWB,M,46.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0159,2024,9,setembro,2024-09-28,SWB,M,30.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0160,2024,9,setembro,2024-09-28,SWB,M,38.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0161,2024,9,setembro,2024-09-28,SWB,F,45.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0162,2024,9,setembro,2024-09-28,SWB,M,33.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0163,2024,9,setembro,2024-09-28,SWB,M,37.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0164,2024,9,setembro,2024-09-28,SWB,F,34.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0165,2024,9,setembro,2024-09-28,SWB,F,39.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0166,2024,9,setembro,2024-09-28,SWB,F,37.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0167,2024,9,setembro,2024-09-28,SWB,F,44.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0168,2024,9,setembro,2024-09-28,SWB,M,46.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0169,2024,9,setembro,2024-09-28,SWB,M,42.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0170,2024,9,setembro,2024-09-28,SWB,F,41.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0171,2024,9,setembro,2024-09-28,SWB,M,39.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0172,2024,9,setembro,2024-09-28,SWB,M,34.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0173,2024,9,setembro,2024-09-28,SWB,M,36.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0174,2024,9,setembro,2024-09-28,SWB,M,34.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0175,2024,9,setembro,2024-09-28,SWB,M,39.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0176,2024,9,setembro,2024-09-28,SWB,M,39.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0177,2024,9,setembro,2024-09-28,SWB,M,41.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0178,2024,9,setembro,2024-09-28,SWB,F,46.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0179,2024,9,setembro,2024-09-28,SWB,M,48.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0180,2024,9,setembro,2024-09-28,SWB,F,38.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0181,2024,9,setembro,2024-09-28,SWB,F,37.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0182,2024,9,setembro,2024-09-28,SWB,F,40.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
LN0183,2024,9,setembro,2024-09-28,SWB,F,33.0,3,In Kelp,11.29,14.595,9.28,96.4,7.86,,"S 26.63570, E 15.10324",
